ons_id,constituency_name,country_name,MP Name,mp_firstname,mp_surname,mp_gender,result,winning_party,majority
E14000575,Blyth Valley,England,Ian Levy,Ian,Levy,Male,Con gain from Lab,Con,712
E14000576,Bognor Regis and Littlehampton,England,Nick Gibb,Nick,Gibb,Male,Con hold,Con,22503
E14000577,Bolsover,England,Mark Fletcher,Mark,Fletcher,Male,Con gain from Lab,Con,5299
E14000578,Bolton North East,England,Mark Logan,Mark,Logan,Male,Con gain from Lab,Con,378
E14000579,Bolton South East,England,Yasmin Qureshi,Yasmin,Qureshi,Female,Lab hold,Lab,7598
E14000580,Bolton West,England,Chris Green,Chris,Green,Male,Con hold,Con,8855
E14000581,Bootle,England,Peter Dowd,Peter,Dowd,Male,Lab hold,Lab,34556
E14000582,Boston and Skegness,England,Matt Warman,Matt,Warman,Male,Con hold,Con,25621
E14000583,Bosworth,England,Luke Evans,Luke,Evans,Male,Con hold,Con,26278
E14000584,Bournemouth East,England,Tobias Ellwood,Tobias,Ellwood,Male,Con hold,Con,8806
E14000585,Bournemouth West,England,Conor Burns,Conor,Burns,Male,Con hold,Con,10150
E14000586,Bracknell,England,James Sunderland,James,Sunderland,Male,Con hold,Con,19829
E14000587,Bradford East,England,Imran Hussain,Imran,Hussain,Male,Lab hold,Lab,18144
E14000588,Bradford South,England,Judith Cummins,Judith,Cummins,Female,Lab hold,Lab,2346
E14000589,Bradford West,England,Naz Shah,Naz,Shah,Female,Lab hold,Lab,27019
E14000590,Braintree,England,James Cleverly,James,Cleverly,Male,Con hold,Con,24673
W07000068,Brecon and Radnorshire,Wales,Fay Jones,Fay,Jones,Female,Con hold,Con,7131
E14000591,Brent Central,England,Dawn Butler,Dawn,Butler,Female,Lab hold,Lab,20870
E14000593,Brentford and Isleworth,England,Ruth Cadbury,Ruth,Cadbury,Female,Lab hold,Lab,10514
E14000592,Brent North,England,Barry Gardiner,Barry,Gardiner,Male,Lab hold,Lab,8079
E14000594,Brentwood and Ongar,England,Alex Burghart,Alex,Burghart,Male,Con hold,Con,29065
W07000073,Bridgend,Wales,Jamie Wallis,Jamie,Wallis,Male,Con gain from Lab,Con,1157
E14000595,Bridgwater and West Somerset,England,Ian Liddell-Grainger,Ian,Liddell-Grainger,Male,Con hold,Con,24439
E14000596,Brigg and Goole,England,Andrew Percy,Andrew,Percy,Male,Con hold,Con,21941
E14000597,"Brighton, Kemptown",England,Lloyd Russell-Moyle,Lloyd,Russell-Moyle,Male,Lab hold,Lab,8061
E14000598,"Brighton, Pavilion",England,Caroline Lucas,Caroline,Lucas,Female,Green hold,Green,19940
E14000599,Bristol East,England,Kerry McCarthy,Kerry,McCarthy,Female,Lab hold,Lab,10794
E14000600,Bristol North West,England,Darren Jones,Darren,Jones,Male,Lab hold,Lab,5692
E14000601,Bristol South,England,Karin Smyth,Karin,Smyth,Female,Lab hold,Lab,9859
E14000602,Bristol West,England,Thangam Debbonaire,Thangam,Debbonaire,Female,Lab hold,Lab,28219
E14000603,Broadland,England,Jerome Mayhew,Jerome,Mayhew,Male,Con hold,Con,21861
E14000604,Bromley and Chislehurst,England,Robert Neill,Robert,Neill,Male,Con hold,Con,10891
E14000605,Bromsgrove,England,Sajid Javid,Sajid,Javid,Male,Con hold,Con,23106
E14000606,Broxbourne,England,Charles Walker,Charles,Walker,Male,Con hold,Con,19807
E14000607,Broxtowe,England,Darren Henry,Darren,Henry,Male,Con hold,Con,5331
E14000608,Buckingham,England,Greg Smith,Greg,Smith,Male,Con gain from Spk,Con,20411
E14000609,Burnley,England,Antony Higginbotham,Antony,Higginbotham,Male,Con gain from Lab,Con,1352
E14000610,Burton,England,Kate Griffiths,Kate,Griffiths,Female,Con hold,Con,14496
E14000611,Bury North,England,James Daly,James,Daly,Male,Con gain from Lab,Con,105
E14000612,Bury South,England,Christian Wakeford,Christian,Wakeford,Male,Con gain from Lab,Con,402
E14000613,Bury St Edmunds,England,Jo Churchill,Jo,Churchill,Female,Con hold,Con,24988
W07000076,Caerphilly,Wales,Wayne David,Wayne,David,Male,Lab hold,Lab,6833
S14000009,"Caithness, Sutherland and Easter Ross",Scotland,Jamie Stone,Jamie,Stone,Male,LD hold,LD,204
E14000614,Calder Valley,England,Craig Whittaker,Craig,Whittaker,Male,Con hold,Con,5774
E14000615,Camberwell and Peckham,England,Harriet Harman,Harriet,Harman,Female,Lab hold,Lab,33780
E14000616,Camborne and Redruth,England,George Eustice,George,Eustice,Male,Con hold,Con,8700
E14000617,Cambridge,England,Daniel Zeichner,Daniel,Zeichner,Male,Lab hold,Lab,9639
E14000618,Cannock Chase,England,Amanda Milling,Amanda,Milling,Female,Con hold,Con,19879
E14000619,Canterbury,England,Rosemary Duffield,Rosemary,Duffield,Female,Lab hold,Lab,1836
W07000050,Cardiff Central,Wales,Jo Stevens,Jo,Stevens,Female,Lab hold,Lab,17179
W07000051,Cardiff North,Wales,Anna McMorrin,Anna,McMorrin,Female,Lab hold,Lab,6982
W07000080,Cardiff South and Penarth,Wales,Stephen Doughty,Stephen,Doughty,Male,Lab hold,Lab,12737
W07000079,Cardiff West,Wales,Kevin Brennan,Kevin,Brennan,Male,Lab hold,Lab,10986
E14000620,Carlisle,England,John Stevenson,John,Stevenson,Male,Con hold,Con,8319
W07000067,Carmarthen East and Dinefwr,Wales,Jonathan Edwards,Jonathan,Edwards,Male,PC hold,PC,1809
W07000066,Carmarthen West and South Pembrokeshire,Wales,Simon Hart,Simon,Hart,Male,Con hold,Con,7745
E14000621,Carshalton and Wallington,England,Elliot Colburn,Elliot,Colburn,Male,Con gain from LD,Con,629
E14000622,Castle Point,England,Rebecca Harris,Rebecca,Harris,Female,Con hold,Con,26634
S14000010,Central Ayrshire,Scotland,Philippa Whitford,Philippa,Whitford,Female,SNP hold,SNP,5304
E14000623,Central Devon,England,Mel Stride,Mel,Stride,Male,Con hold,Con,17721
E14000624,Central Suffolk and North Ipswich,England,Dan Poulter,Dan,Poulter,Male,Con hold,Con,23391
W07000064,Ceredigion,Wales,Ben Lake,Ben,Lake,Male,PC hold,PC,6329
E14000625,Charnwood,England,Edward Argar,Edward,Argar,Male,Con hold,Con,22397
E14000626,Chatham and Aylesford,England,Tracey Crouch,Tracey,Crouch,Female,Con hold,Con,18540
E14000627,Cheadle,England,Mary Robinson,Mary,Robinson,Female,Con hold,Con,2336
E14000628,Chelmsford,England,Vicky Ford,Vicky,Ford,Female,Con hold,Con,17621
E14000629,Chelsea and Fulham,England,Greg Hands,Greg,Hands,Male,Con hold,Con,11241
E14000630,Cheltenham,England,Alex Chalk,Alex,Chalk,Male,Con hold,Con,981
E14000631,Chesham and Amersham,England,Cheryl Gillan,Cheryl,Gillan,Female,Con hold,Con,16223
E14000632,Chesterfield,England,Toby Perkins,Toby,Perkins,Male,Lab hold,Lab,1451
E14000633,Chichester,England,Gillian Keegan,Gillian,Keegan,Female,Con hold,Con,21490
E14000634,Chingford and Woodford Green,England,Iain Duncan Smith,Iain,Duncan Smith,Male,Con hold,Con,1262
E14000635,Chippenham,England,Michelle Donelan,Michelle,Donelan,Female,Con hold,Con,11288
E14000636,Chipping Barnet,England,Theresa Villiers,Theresa,Villiers,Female,Con hold,Con,1212
E14000637,Chorley,England,Lindsay Hoyle,Lindsay,Hoyle,Male,Spk gain from Lab,Spk,17392
E14000638,Christchurch,England,Christopher Chope,Christopher,Chope,Male,Con hold,Con,24617
E14000639,Cities of London and Westminster,England,Nickie Aiken,Nickie,Aiken,Female,Con hold,Con,3953
E14000640,City of Chester,England,Christian Matheson,Christian,Matheson,Male,Lab hold,Lab,6164
E14000641,City of Durham,England,Mary Foy,Mary,Foy,Female,Lab hold,Lab,5025
E14000642,Clacton,England,Giles Watling,Giles,Watling,Male,Con hold,Con,24702
E14000643,Cleethorpes,England,Martin Vickers,Martin,Vickers,Male,Con hold,Con,21418
W07000062,Clwyd South,Wales,Simon Baynes,Simon,Baynes,Male,Con gain from Lab,Con,1239
W07000059,Clwyd West,Wales,David Jones,David,Jones,Male,Con hold,Con,6747
S14000011,"Coatbridge, Chryston and Bellshill",Scotland,Steven Bonnar,Steven,Bonnar,Male,SNP gain from Lab,SNP,5624
E14000644,Colchester,England,Will Quince,Will,Quince,Male,Con hold,Con,9423
E14000645,Colne Valley,England,Jason McCartney,Jason,McCartney,Male,Con gain from Lab,Con,5103
E14000646,Congleton,England,Fiona Bruce,Fiona,Bruce,Female,Con hold,Con,18561
E14000647,Copeland,England,Trudy Harrison,Trudy,Harrison,Female,Con hold,Con,5842
E14000648,Corby,England,Tom Pursglove,Tom,Pursglove,Male,Con hold,Con,10268
E14000649,Coventry North East,England,Colleen Fletcher,Colleen,Fletcher,Female,Lab hold,Lab,7692
E14000650,Coventry North West,England,Taiwo Owatemi,Taiwo,Owatemi,Female,Lab hold,Lab,208
E14000651,Coventry South,England,Zarah Sultana,Zarah,Sultana,Female,Lab hold,Lab,401
E14000652,Crawley,England,Henry Smith,Henry,Smith,Male,Con hold,Con,8360
E14000653,Crewe and Nantwich,England,Kieran Mullan,Kieran,Mullan,Male,Con gain from Lab,Con,8508
E14000654,Croydon Central,England,Sarah Jones,Sarah,Jones,Female,Lab hold,Lab,5949
E14000655,Croydon North,England,Steve Reed,Steve,Reed,Male,Lab hold,Lab,24673
E14000656,Croydon South,England,Chris Philp,Chris,Philp,Male,Con hold,Con,12339
S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",Scotland,Stuart C. McDonald,Stuart C.,McDonald,Male,SNP hold,SNP,12976
W07000070,Cynon Valley,Wales,Beth Winter,Beth,Winter,Female,Lab hold,Lab,8822
E14000657,Dagenham and Rainham,England,Jon Cruddas,Jon,Cruddas,Male,Lab hold,Lab,293
E14000658,Darlington,England,Peter Gibson,Peter,Gibson,Male,Con gain from Lab,Con,3294
E14000659,Dartford,England,Gareth Johnson,Gareth,Johnson,Male,Con hold,Con,19160
E14000660,Daventry,England,Chris Heaton-Harris,Chris,Heaton-Harris,Male,Con hold,Con,26080
W07000042,Delyn,Wales,Rob Roberts,Rob,Roberts,Male,Con gain from Lab,Con,865
E14000661,Denton and Reddish,England,Andrew Gwynne,Andrew,Gwynne,Male,Lab hold,Lab,6175
E14000662,Derby North,England,Amanda Solloway,Amanda,Solloway,Female,Con gain from Lab,Con,2540
E14000664,Derbyshire Dales,England,Sarah Dines,Sarah,Dines,Female,Con hold,Con,17381
E14000663,Derby South,England,Margaret Beckett,Margaret,Beckett,Female,Lab hold,Lab,6019
E14000665,Devizes,England,Danny Kruger,Danny,Kruger,Male,Con hold,Con,23993
E14000666,Dewsbury,England,Mark Eastwood,Mark,Eastwood,Male,Con gain from Lab,Con,1561
E14000668,Doncaster Central,England,Rosie Winterton,Rosie,Winterton,Female,Lab hold,Lab,2278
E14000669,Doncaster North,England,Edward Miliband,Edward,Miliband,Male,Lab hold,Lab,2370
E14000667,Don Valley,England,Nick Fletcher,Nick,Fletcher,Male,Con gain from Lab,Con,3630
E14000670,Dover,England,Natalie Elphicke,Natalie,Elphicke,Female,Con hold,Con,12278
E14000671,Dudley North,England,Marco Longhi,Marco,Longhi,Male,Con gain from Lab,Con,11533
E14000672,Dudley South,England,Mike Wood,Mike,Wood,Male,Con hold,Con,15565
E14000673,Dulwich and West Norwood,England,Helen Hayes,Helen,Hayes,Female,Lab hold,Lab,27310
S14000013,Dumfries and Galloway,Scotland,Alister Jack,Alister,Jack,Male,Con hold,Con,1805
S14000014,"Dumfriesshire, Clydesdale and Tweeddale",Scotland,David Mundell,David,Mundell,Male,Con hold,Con,3781
S14000015,Dundee East,Scotland,Stewart Hosie,Stewart,Hosie,Male,SNP hold,SNP,13375
S14000016,Dundee West,Scotland,Chris Law,Chris,Law,Male,SNP hold,SNP,12259
S14000017,Dunfermline and West Fife,Scotland,Douglas Chapman,Douglas,Chapman,Male,SNP hold,SNP,10699
W07000061,Dwyfor Meirionnydd,Wales,Liz Saville Roberts,Liz,Saville Roberts,Female,PC hold,PC,4740
E14000674,Ealing Central and Acton,England,Rupa Huq,Rupa,Huq,Female,Lab hold,Lab,13300
E14000675,Ealing North,England,James Murray,James,Murray,Male,Lab hold,Lab,12269
E14000676,"Ealing, Southall",England,Virendra Sharma,Virendra,Sharma,Male,Lab hold,Lab,16084
E14000677,Easington,England,Grahame Morris,Grahame,Morris,Male,Lab hold,Lab,6581
N06000005,East Antrim,Northern Ireland,Sammy Wilson,Sammy,Wilson,Male,DUP hold,DUP,6706
E14000684,Eastbourne,England,Caroline Ansell,Caroline,Ansell,Female,Con gain from LD,Con,4331
E14000678,East Devon,England,Simon Jupp,Simon,Jupp,Male,Con hold,Con,6708
S14000018,East Dunbartonshire,Scotland,Amy Callaghan,Amy,Callaghan,Female,SNP gain from LD,SNP,149
E14000679,East Ham,England,Stephen Timms,Stephen,Timms,Male,Lab hold,Lab,33176
E14000680,East Hampshire,England,Damian Hinds,Damian,Hinds,Male,Con hold,Con,19696
S14000019,"East Kilbride, Strathaven and Lesmahagow",Scotland,Lisa Cameron,Lisa,Cameron,Female,SNP hold,SNP,13322
E14000685,Eastleigh,England,Paul Holmes,Paul,Holmes,Male,Con hold,Con,15607
N06000006,East Londonderry,Northern Ireland,Gregory Campbell,Gregory,Campbell,Male,DUP hold,DUP,9607
S14000020,East Lothian,Scotland,Kenny MacAskill,Kenny,MacAskill,Male,SNP gain from Lab,SNP,3886
S14000021,East Renfrewshire,Scotland,Kirsten Oswald,Kirsten,Oswald,Female,SNP gain from Con,SNP,5426
E14000681,East Surrey,England,Claire Coutinho,Claire,Coutinho,Female,Con hold,Con,24040
E14000682,East Worthing and Shoreham,England,Tim Loughton,Tim,Loughton,Male,Con hold,Con,7474
E14000683,East Yorkshire,England,Greg Knight,Greg,Knight,Male,Con hold,Con,22787
E14000686,Eddisbury,England,Edward Timpson,Edward,Timpson,Male,Con hold,Con,18443
S14000022,Edinburgh East,Scotland,Tommy Sheppard,Tommy,Sheppard,Male,SNP hold,SNP,10417
S14000023,Edinburgh North and Leith,Scotland,Deidre Brock,Deidre,Brock,Female,SNP hold,SNP,12808
S14000024,Edinburgh South,Scotland,Ian Murray,Ian,Murray,Male,Lab hold,Lab,11095
S14000025,Edinburgh South West,Scotland,Joanna Cherry,Joanna,Cherry,Female,SNP hold,SNP,11982
S14000026,Edinburgh West,Scotland,Christine Jardine,Christine,Jardine,Female,LD hold,LD,3769
E14000687,Edmonton,England,Kate Osamor,Kate,Osamor,Female,Lab hold,Lab,16015
E14000688,Ellesmere Port and Neston,England,Justin Madders,Justin,Madders,Male,Lab hold,Lab,8764
E14000689,Elmet and Rothwell,England,Alec Shelbrooke,Alec,Shelbrooke,Male,Con hold,Con,17353
E14000690,Eltham,England,Clive Efford,Clive,Efford,Male,Lab hold,Lab,3197
