Constituency,Region,Country,Winner,Majority,Degree,share,%
Harborough,East Midlands,England,Con,17278,27.7,0.553010346,55.30103456
Harlow,East,England,Con,14063,18.4,0.634543525,63.45435254
Harrogate and Knaresborough,Yorkshire and The Humber,England,Con,9675,34.7,0.526230746,52.62307463
Harrow East,London,England,Con,8170,32.7,0.544240367,54.42403669
Harwich and North Essex,East,England,Con,20182,24.3,0.612551238,61.25512384
Hastings and Rye,South East,England,Con,4043,21.8,0.495559568,49.55595681
Havant,South East,England,Con,21792,22.2,0.653865402,65.38654018
Hazel Grove,North West,England,Con,4423,27.9,0.487745375,48.77453749
Hemel Hempstead,East,England,Con,14563,26.1,0.564997757,56.4997757
Hendon,London,England,Con,4230,35.2,0.48802542,48.80254199
Henley,South East,England,Con,14053,38.7,0.547813952,54.78139519
Hereford and South Herefordshire,West Midlands,England,Con,19686,25.2,0.612133908,61.21339081
Hertford and Stortford,East,England,Con,19620,33.9,0.560987786,56.09877858
Hertsmere,East,England,Con,21313,30.8,0.625462138,62.54621382
Hexham,North East,England,Con,10549,35.9,0.545005417,54.50054171
Heywood and Middleton,North West,England,Con,663,19.8,0.430698282,43.06982817
High Peak,East Midlands,England,Con,590,29.4,0.45860484,45.860484
Hitchin and Harpenden,East,England,Con,6895,43.1,0.47084303,47.08430297
Hornchurch and Upminster,London,England,Con,23308,20,0.657631452,65.76314522
Horsham,South East,England,Con,21127,32.2,0.567660732,56.76607318
Huntingdon,East,England,Con,19383,28.5,0.547551017,54.7551017
Hyndburn,North West,England,Con,2951,19.5,0.484954959,48.49549592
Ipswich,East,England,Con,5479,21.8,0.503277597,50.32775974
Isle Of Wight,South East,England,Con,23737,22.6,0.561712474,56.17124741
Keighley,Yorkshire and The Humber,England,Con,2218,26.7,0.48095057,48.09505703
Kenilworth and Southam,West Midlands,England,Con,20353,38,0.577048121,57.70481206
Kensington,London,England,Con,150,52.2,0.383163475,38.31634752
Kettering,East Midlands,England,Con,16765,23.3,0.603452118,60.34521181
Kingswood,South West,England,Con,11220,22.2,0.561949953,56.19499534
Leigh,North West,England,Con,1965,20.2,0.452670342,45.26703421
Lewes,South East,England,Con,2457,31.4,0.478897377,47.88973765
Lichfield,West Midlands,England,Con,23638,29.3,0.645342915,64.53429148
Lincoln,East Midlands,England,Con,3514,21.9,0.479310277,47.93102767
Loughborough,East Midlands,England,Con,7169,27.6,0.511687503,51.16875034
Louth and Horncastle,East Midlands,England,Con,28868,19.8,0.726534434,72.6534434
Ludlow,West Midlands,England,Con,23648,28.4,0.640816327,64.08163265
Macclesfield,North West,England,Con,10711,35,0.525219522,52.52195222
Maidenhead,South East,England,Con,18846,39.5,0.577426892,57.74268923
Maidstone and The Weald,South East,England,Con,21772,27.2,0.604102167,60.41021672
Maldon,East,England,Con,30041,24.2,0.720203142,72.02031424
Mansfield,East Midlands,England,Con,16306,16.4,0.638970633,63.8970633
Meon Valley,South East,England,Con,23555,31.8,0.643290959,64.32909592
Meriden,West Midlands,England,Con,22836,26.2,0.634367903,63.43679031
Mid Bedfordshire,East,England,Con,24664,31,0.597864549,59.78645487
Mid Derbyshire,East Midlands,England,Con,15385,31.3,0.58811492,58.81149202
Middlesbrough South and East Cleveland,North East,England,Con,11626,21.3,0.588389067,58.83890666
Mid Dorset and North Poole,South West,England,Con,14898,33.5,0.603883098,60.38830983
Mid Norfolk,East,England,Con,22594,27.6,0.623838679,62.38386787
Mid Sussex,South East,England,Con,18197,16.9,0.533045473,53.30454734
Mid Worcestershire,West Midlands,England,Con,28018,21.1,0.666856725,66.68567254
Milton Keynes North,South East,England,Con,6255,29.5,0.494667669,49.46676686
Milton Keynes South,South East,England,Con,6944,27,0.500117175,50.01171747
Mole Valley,South East,England,Con,12041,38.5,0.554298722,55.42987218
Monmouth,Wales,Wales,Con,9982,33.9,0.520939124,52.09391242
Montgomeryshire,Wales,Wales,Con,12138,24.7,0.585140586,58.51405857
Moray,Scotland,Scotland,Con,513,22.7,0.452882744,45.28827445
Morecambe and Lunesdale,North West,England,Con,6354,23.6,0.528029133,52.80291326
Morley and Outwood,Yorkshire and The Humber,England,Con,11267,22.9,0.566608897,56.66088966
Newark,East Midlands,England,Con,21816,25.8,0.632920638,63.29206384
Newbury,South East,England,Con,16047,28.8,0.573869129,57.3869129
Newcastle-Under-Lyme,West Midlands,England,Con,7446,28,0.524933503,52.49335032
New Forest East,South East,England,Con,25251,26.6,0.645236876,64.52368763
New Forest West,South East,England,Con,24403,22.7,0.638353278,63.83532779
Newton Abbot,South West,England,Con,17501,25.5,0.555407565,55.54075653
Northampton North,East Midlands,England,Con,5507,20.9,0.531905208,53.19052075
Northampton South,East Midlands,England,Con,4697,21.4,0.512158687,51.21586874
North Cornwall,South West,England,Con,14752,27.5,0.593502071,59.35020705
North Devon,South West,England,Con,14813,30.3,0.566362606,56.63626059
North Dorset,South West,England,Con,24301,20.2,0.636373358,63.6373358
North East Bedfordshire,East,England,Con,24283,22.2,0.591267034,59.12670337
North East Cambridgeshire,East,England,Con,29993,33.9,0.725455026,72.54550261
North East Derbyshire,East Midlands,England,Con,12876,38.9,0.587134527,58.71345267
North East Hampshire,South East,England,Con,20211,28.6,0.595242112,59.52421124
North East Hertfordshire,East,England,Con,18189,30.1,0.565600882,56.5600882
North East Somerset,South West,England,Con,14729,22.6,0.50365845,50.365845
North Herefordshire,West Midlands,England,Con,24856,24.9,0.630141281,63.01412811
North Norfolk,East,England,Con,14395,34,0.586191291,58.61912913
North Shropshire,West Midlands,England,Con,22949,20.8,0.627183126,62.7183126
