,latitude,longitude,Cluster
1349,50.6520515,9.1624376,4
1350,52.6367036,9.8450766,4
1351,53.6126505,12.4295953,4
1352,51.4332367,7.6615938,4
1353,50.118346,7.3089527,4
1354,49.3964234,7.0229607,4
1355,51.1045407,13.2017384,4
1356,51.9502649,11.6922734,4
1357,54.2193672,9.6961167,4
1358,51.0109892,10.845346,4
1359,6.7470436,-1.5208624,3
1360,7.9559247,-1.6760691,3
1363,5.8142836,0.0746767,3
1365,10.7082499,-0.9820668,3
1366,10.2529757,-2.1450245,3
1367,6.5781373,0.4502368,3
1369,38.1158729,21.9522491,4
1370,38.7084386,21.3798928,4
1371,37.5557825,22.3337769,4
1373,38.0457568,23.8584737,4
1374,38.3663664,23.0965064,4
1375,38.6043984,22.7152131,4
1376,40.621173,23.1918021,4
1377,35.5138298,24.0180367,4
1378,39.6249838,19.9223461,4
1380,35.240117,24.8092691,4
1381,41.2340023,24.2390498,4
1382,38.2054093,23.8584737,4
1383,41.1295126,24.8877191,4
1384,39.5706413,20.7642843,4
1385,38.5236036,23.8584737,4
1386,40.0837626,21.4273299,4
1387,40.6060067,22.1430215,4
1388,39.6650288,20.8537466,4
1389,37.9694898,21.3802372,4
1390,39.3640258,21.9214049,4
1391,40.5192691,21.2687171,4
1392,38.1753675,20.5692179,4
1393,40.9937071,22.8753674,4
1394,40.3005586,21.7887737,4
1395,43.5278546,-71.4703509,1
1396,39.6390224,22.4191254,4
1397,38.8333663,20.7069108,4
1398,40.9148039,22.1430215,4
1399,37.5079472,22.37349,4
1400,38.999785,22.3337769,4
1401,38.9592649,20.7517155,4
1402,41.0863854,23.5483819,4
1403,37.0855302,25.1489215,4
1404,40.6400629,22.9444191,4
1405,38.5115496,21.5706786,4
1406,40.3004058,21.7903559,4
1407,12.4785888,-61.4493842,5
1411,30.1118331,-90.4879916,1
1412,40.5881863,-73.9495701,1
1414,15.5942883,-90.1494988,1
1415,15.1255867,-90.3748354,1
1416,14.5634787,-90.9820668,1
1417,14.7514999,-89.4742177,1
1418,14.9388732,-90.0746767,1
1419,14.1910912,-90.9820668,1
1420,14.5649401,-90.5257823,1
1421,15.5879914,-91.6760691,1
1422,15.4976517,-88.864698,1
1423,14.6121446,-89.9626799,1
1424,14.1930802,-89.9253233,1
1425,16.912033,-90.2995785,1
1426,14.792433,-91.714958,1
1427,15.4983808,-90.9820668,1
1428,14.5245485,-91.685788,1
1429,14.5178379,-90.7152749,1
1430,14.9309569,-91.9099238,1
1431,38.4405759,-122.7037543,1
1432,14.748523,-91.2891036,1
1433,14.4215982,-91.4048249,1
1434,14.9173402,-91.3613923,1
1435,8.9198178,-8.3088441,3
1436,10.1808254,-14.0391615,3
1437,11.0847379,-14.3791912,3
1438,11.1864672,-14.1001326,3
1439,9.6411855,-13.5784012,3
1440,9.7715535,-13.3125299,3
1441,10.7297806,-11.1107854,3
1442,10.6868176,-12.2490697,3
1443,11.6844222,-10.8000051,3
1444,9.7907348,-13.5147735,3
1445,9.9057399,-10.8000051,3
1446,9.3886187,-13.0817903,3
1447,10.3674543,-13.5841871,3
1448,11.5762804,-13.3587288,3
1449,8.5649688,-10.1311163,3
1450,10.3034465,-9.3673084,3
1451,10.120923,-9.5450974,3
1452,9.2536643,-9.0128926,3
1453,10.1013292,-12.7135121,3
1454,10.1781694,-12.989615,3
1455,9.2252022,-10.0807298,3
1456,11.582354,-11.8920237,3
1457,12.4894021,-13.3067562,3
1458,10.6489229,-9.8850586,3
1459,11.3541939,-12.3463875,3
1460,11.3232042,-12.2891314,3
1461,11.183333,-12.933333,3
1462,7.9613818,-8.3964938,3
1463,8.4615795,-9.2785583,3
1464,11.983709,-12.2547919,3
1465,10.5736024,-11.8891721,3
1466,10.5736024,-11.8891721,3
1467,10.6172827,-8.6985716,3
1468,7.7478359,-8.8252502,3
1469,8.038587,-8.8362755,3
1470,10.8062086,-12.7135121,3
1471,11.4148113,-9.1788304,3
1472,10.9089364,-13.0299331,3
1473,11.3841583,-11.6157773,3
1474,7.5696279,-9.2591571,3
1475,12.1735243,-14.652952,3
1476,11.8529061,-15.7351171,3
1477,11.1480591,-16.1345705,3
1478,12.0551416,-16.0640179,3
1479,11.8962488,-14.1001326,3
1481,7.8721811,123.8857747,2
1482,12.2760709,-15.3131185,3
1483,11.795562,-15.1726816,3
1484,-10.2866578,20.7122465,3
1485,11.3632696,-14.9856176,3
1486,7.4882419,-59.6564494,5
1487,6.4642141,-60.2110752,5
1488,6.546426,-58.0982046,5
1489,2.7477922,-57.4627259,5
1490,6.5720132,-58.4629997,5
1491,6.238496,-57.9162555,5
1492,7.1294166,-58.9206295,5
1493,4.7855853,-59.2879977,5
1494,5.3064879,-58.1892921,5
1495,2.9239595,-58.7373634,5
1496,19.362902,-72.4258145,5
1497,32.8370251,-96.7773882,1
1498,12.0166667,-61.7666667,5
1499,18.3990735,-73.4180211,5
1500,43.190526,-89.437921,1
1501,19.4889723,-71.8571331,5
1502,19.8374009,-73.0405277,1
1503,45.4547249,-73.6502365,1
1504,29.9213248,-90.0973772,1
1505,18.2783598,-72.3547915,5
1506,15.6696283,-87.1422895,1
1507,16.4826614,-85.8793252,1
1508,13.2504325,-87.1422895,1
1509,15.6425965,-85.520024,1
