Constituency,Region,Country,Winner,Majority,Degree,share,%
Harrow West,London,England,Lab,8692,38.5,0.643118669,64.31186693
Hartlepool,North East,England,Lab,3595,17.6,0.562510457,56.25104568
Hayes and Harlington,London,England,Lab,9261,23,0.450780636,45.07806363
Hemsworth,Yorkshire and The Humber,England,Lab,1180,18.4,0.391868565,39.18685654
Holborn and St Pancras,London,England,Lab,27763,45.2,0.497997252,49.79972517
Hornsey and Wood Green,London,England,Lab,19242,52,0.426840158,42.68401582
Houghton and Sunderland South,North East,England,Lab,3115,16.7,0.80771051,80.771051
Hove,South East,England,Lab,17044,38.4,0.468475641,46.84756408
Huddersfield,Yorkshire and The Humber,England,Lab,4937,23.7,0.617096827,61.70968266
Ilford North,London,England,Lab,5218,30.1,0.498412373,49.84123732
Ilford South,London,England,Lab,24101,32.5,0.574732673,57.47326733
Islington North,London,England,Lab,26188,48.8,0.550780765,55.07807651
Islington South and Finsbury,London,England,Lab,17328,47.4,0.507678922,50.76789219
Islwyn,Wales,Wales,Lab,5464,18.1,0.497225018,49.7225018
Jarrow,North East,England,Lab,7120,19.7,0.70827915,70.82791504
Kingston upon Hull East,Yorkshire and The Humber,England,Lab,1239,12.3,0.594912418,59.49124177
Kingston upon Hull North,Yorkshire and The Humber,England,Lab,7593,18.9,0.611516315,61.15163148
Kingston upon Hull West and Hessle,Yorkshire and The Humber,England,Lab,2856,16.1,0.647316318,64.73163176
Knowsley,North West,England,Lab,39942,14.3,0.779897327,77.98973271
Lancaster and Fleetwood,North West,England,Lab,2380,26.5,0.84681018,84.681018
Leeds Central,Yorkshire and The Humber,England,Lab,19270,21.9,0.721811098,72.1811098
Leeds East,Yorkshire and The Humber,England,Lab,5531,16.2,0.775580259,77.55802587
Leeds North East,Yorkshire and The Humber,England,Lab,17089,40.7,0.421756075,42.17560746
Leeds North West,Yorkshire and The Humber,England,Lab,10749,33.3,0.551691751,55.16917514
Leeds West,Yorkshire and The Humber,England,Lab,10564,22,0.51794884,51.79488399
Leicester East,East Midlands,England,Lab,6019,18.3,0.450846156,45.08461556
Leicester South,East Midlands,England,Lab,22675,24.8,0.776360983,77.63609833
Leicester West,East Midlands,England,Lab,4212,19.9,0.677460138,67.74601377
"Lewisham, Deptford",London,England,Lab,32913,34.3,0.524499163,52.44991627
Lewisham East,London,England,Lab,17008,37.4,0.504648503,50.46485028
Lewisham West and Penge,London,England,Lab,21543,41.6,0.611355239,61.13552393
Leyton and Wanstead,London,England,Lab,20808,36.3,0.575545712,57.55457117
"Liverpool, Riverside",North West,England,Lab,37043,29.7,0.600691802,60.06918021
"Liverpool, Walton",North West,England,Lab,30520,13.3,0.454350093,45.43500926
"Liverpool, Wavertree",North West,England,Lab,27085,26.6,0.444435257,44.44352572
"Liverpool, West Derby",North West,England,Lab,29984,17.2,0.43692584,43.69258398
Llanelli,Wales,Wales,Lab,4670,21,0.379141714,37.91417145
Luton North,East,England,Lab,9247,21.8,0.441734803,44.17348027
Luton South,East,England,Lab,8756,22.8,0.496757818,49.67578179
Makerfield,North West,England,Lab,4740,19.4,0.537340584,53.73405841
Manchester Central,North West,England,Lab,29089,29.7,0.643310669,64.33106689
"Manchester, Gorton",North West,England,Lab,30339,26,0.55233307,55.23330702
"Manchester, Withington",North West,England,Lab,27905,45.1,0.497372139,49.7372139
Merthyr Tydfil and Rhymney,Wales,Wales,Lab,10606,16.4,0.435144268,43.51442683
Middlesbrough,North East,England,Lab,8395,27.1,0.444982079,44.49820789
Mitcham and Morden,London,England,Lab,16482,28.2,0.630915856,63.09158561
Neath,Wales,Wales,Lab,5637,20.7,0.486410121,48.64101212
Newcastle Upon Tyne Central,North East,England,Lab,12278,32.5,0.451384073,45.13840728
Newcastle Upon Tyne East,North East,England,Lab,15463,26.6,0.484673987,48.46739869
Newcastle Upon Tyne North,North East,England,Lab,5765,28.1,0.543654274,54.36542743
Newport East,Wales,Wales,Lab,1992,20.5,0.515838725,51.58387253
Newport West,Wales,Wales,Lab,902,26.5,0.413340439,41.33404393
"Normanton, Pontefract and Castleford",Yorkshire and The Humber,England,Lab,1276,15,0.567921473,56.79214726
North Durham,North East,England,Lab,4742,15.9,0.574960692,57.49606918
North Tyneside,North East,England,Lab,9561,25.5,0.564873737,56.48737374
Norwich South,East,England,Lab,12760,30.7,0.667177342,66.71773417
Nottingham East,East Midlands,England,Lab,17393,26,0.34647095,34.64709502
Nottingham North,East Midlands,England,Lab,4490,13.3,0.502986298,50.29862982
Nottingham South,East Midlands,England,Lab,12568,25.3,0.460950521,46.09505215
Ogmore,Wales,Wales,Lab,7805,18,0.576452839,57.64528391
Oldham East and Saddleworth,North West,England,Lab,1499,21.6,0.49464373,49.46437303
Oldham West and Royton,North West,England,Lab,11127,16.4,0.455968534,45.59685339
Oxford East,South East,England,Lab,17832,37.7,0.522907424,52.29074242
"Plymouth, Sutton and Devonport",South West,England,Lab,4757,24.6,0.585474927,58.5474927
Pontypridd,Wales,Wales,Lab,5887,25.8,0.520076711,52.0076711
Poplar and Limehouse,London,England,Lab,28904,42.5,0.430751288,43.07512878
Portsmouth South,South East,England,Lab,5363,26.2,0.548121671,54.81216711
Preston,North West,England,Lab,12146,19.3,0.603091857,60.30918569
Putney,London,England,Lab,4774,51.6,0.421749931,42.1749931
Reading East,South East,England,Lab,5924,38.4,0.518329909,51.83299086
Rhondda,Wales,Wales,Lab,11440,14,0.526926958,52.69269577
Rochdale,North West,England,Lab,9668,19,0.418173015,41.81730148
Rotherham,Yorkshire and The Humber,England,Lab,3121,20.5,0.76022281,76.02228103
Salford and Eccles,North West,England,Lab,16327,24.7,0.480565371,48.0565371
Sefton Central,North West,England,Lab,15122,29.4,0.643142906,64.31429063
"Sheffield, Brightside and Hillsborough",Yorkshire and The Humber,England,Lab,12274,32.6,0.491429648,49.14296478
Sheffield Central,Yorkshire and The Humber,England,Lab,27273,16.1,0.422720877,42.27208768
"Sheffield, Hallam",Yorkshire and The Humber,England,Lab,712,15.5,0.588119982,58.81199817
"Sheffield, Heeley",Yorkshire and The Humber,England,Lab,8520,43.6,0.441661131,44.1661131
Sheffield South East,Yorkshire and The Humber,England,Lab,4289,21.7,0.437561111,43.75611106
Slough,South East,England,Lab,13640,25.9,0.424946019,42.49460187
"Southampton, Test",South East,England,Lab,6213,15.6,0.449036736,44.90367361
South Shields,North East,England,Lab,9585,21.9,0.402868349,40.28683495
Stalybridge and Hyde,North West,England,Lab,2946,20.3,0.700681063,70.06810631
St Helens North,North West,England,Lab,12209,24.1,0.52139073,52.13907297
St Helens South and Whiston,North West,England,Lab,19122,20.1,0.541586074,54.15860735
Stockport,North West,England,Lab,10039,27.3,0.46716398,46.71639803
Stockton North,North East,England,Lab,1027,18.1,0.511722966,51.1722966
Streatham,London,England,Lab,17690,46.6,0.482198611,48.21986113
Stretford and Urmston,North West,England,Lab,16417,25.5,0.464133002,46.41330024
Sunderland Central,North East,England,Lab,2964,21.4,0.457333304,45.73333035
Swansea East,Wales,Wales,Lab,7970,17.9,0.532965437,53.29654371
Swansea West,Wales,Wales,Lab,8116,27.9,,
Tooting,London,England,Lab,14307,51.4,,
Torfaen,Wales,Wales,Lab,3742,19.3,,
Tottenham,London,England,Lab,30175,29.3,,
Tynemouth,North East,England,Lab,4857,30.6,,
Vauxhall,London,England,Lab,19612,48.7,,
Wallasey,North West,England,Lab,18322,20.2,,
Walsall South,West Midlands,England,Lab,3456,18.3,,
Walthamstow,London,England,Lab,30862,31.3,,
Wansbeck,North East,England,Lab,814,22.4,,
Warley,West Midlands,England,Lab,11511,18.3,,
Warrington North,North West,England,Lab,1509,22.7,,
Warwick and Leamington,West Midlands,England,Lab,789,36.9,,
Washington and Sunderland West,North East,England,Lab,3723,15.9,,
Weaver Vale,North West,England,Lab,562,27.6,,
Wentworth and Dearne,Yorkshire and The Humber,England,Lab,2165,15.5,,
West Ham,London,England,Lab,32388,30.5,,
West Lancashire,North West,England,Lab,8336,25.2,,
Westminster North,London,England,Lab,10759,20.2,,
Wigan,North West,England,Lab,6728,19.8,,
Wirral South,North West,England,Lab,6105,30.7,,
Wirral West,North West,England,Lab,3003,32.6,,
Wolverhampton South East,West Midlands,England,Lab,1235,13.9,,
Worsley and Eccles South,North West,England,Lab,3219,20.3,,
Wythenshawe and Sale East,North West,England,Lab,10396,24.8,,
York Central,Yorkshire and The Humber,England,Lab,13545,32.7,,
